App name,Concerned Class,Fix revision,Buggy revision,Buggy method,Buggy file,Bug report,Use in experiments?,Code Inspection (B),Lint (B),FindBugs (B),PMD (B),Infer (B),Relda2-flow (B),Relda2-inflow (B),Verifier (B),Elite (B),Code Inspection (F),Lint (F),FindBugs (F),PMD (F),Infer (F),Relda2-flow (F),Relda2-inflow (F),Verifier (F),Elite (F),App component lifecycle-related,Resource escape local context,Leak extent,,Repo Link,Java class path,fix version link,buggy version link,buggy_content,fix_content,Pipe (B),Pipe (F),b_answer,f_answer
AnkiDroid,android.database.Cursor,d095337329,ff359989da,eta() @line 2585,Sched.java,Pull 275,yes,no,no,n/a,,yes,n/a,n/a,,,no,no,n/a,,yes,n/a,n/a,,,,no,complete leak,,https://github.com/ankidroid/Anki-Android,src/com/ichi2/libanki/Sched.java,https://github.com/ankidroid/Anki-Android/commit/d09533732992b714e42b82de8477e24a7cf0016b,https://github.com/ankidroid/Anki-Android/commit/ff359989da34ab0335e0a3e61646c49a213c0a4f,"public int eta(int[] counts, boolean reload) {
        double revYesRate;
        double revTime;
        double lrnYesRate;
        double lrnTime;
        if (reload || mEtaCache[0] == -1) {
            Cursor cur = null;
            try {
                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease > 1 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type = 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                revYesRate = cur.getDouble(0);
                revTime = cur.getDouble(1);
                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease = 3 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type != 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                lrnYesRate = cur.getDouble(0);
                lrnTime = cur.getDouble(1);
            } finally {
                if (cur != null && !cur.isClosed()) {
                    cur.close();
                }
            }
            mEtaCache[0] = revYesRate;
            mEtaCache[1] = revTime;
            mEtaCache[2] = lrnYesRate;
            mEtaCache[3] = lrnTime;
        } else {
            revYesRate = mEtaCache[0];
            revTime = mEtaCache[1];
            lrnYesRate = mEtaCache[2];
            lrnTime = mEtaCache[3];
        }
        // rev cards
        double eta = revTime * counts[2];
        // lrn cards
        double factor = Math.min(1 / (1 - lrnYesRate), 10);
        double lrnAnswers = (counts[0] + counts[1] + counts[2] * (1 - revYesRate)) * factor;
        eta += lrnAnswers * lrnTime;
        return (int) (eta / 60000);
    }","public int eta(int[] counts, boolean reload) {
        double revYesRate;
        double revTime;
        double lrnYesRate;
        double lrnTime;
        if (reload || mEtaCache[0] == -1) {
            Cursor cur = null;
            try {
                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease > 1 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type = 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                revYesRate = cur.getDouble(0);
                revTime = cur.getDouble(1);

                if (cur != null && !cur.isClosed()) {
                    cur.close();
                }

                cur = mCol
                        .getDb()
                        .getDatabase()
                        .rawQuery(
                                ""SELECT avg(CASE WHEN ease = 3 THEN 1.0 ELSE 0.0 END), avg(time) FROM revlog WHERE type != 1 AND id > ""
                                        + ((mCol.getSched().getDayCutoff() - (7 * 86400)) * 1000), null);
                if (!cur.moveToFirst()) {
                    return -1;
                }
                lrnYesRate = cur.getDouble(0);
                lrnTime = cur.getDouble(1);
            } finally {
                if (cur != null && !cur.isClosed()) {
                    cur.close();
                }
            }
            mEtaCache[0] = revYesRate;
            mEtaCache[1] = revTime;
            mEtaCache[2] = lrnYesRate;
            mEtaCache[3] = lrnTime;
        } else {
            revYesRate = mEtaCache[0];
            revTime = mEtaCache[1];
            lrnYesRate = mEtaCache[2];
            lrnTime = mEtaCache[3];
        }
        // rev cards
        double eta = revTime * counts[2];
        // lrn cards
        double factor = Math.min(1 / (1 - lrnYesRate), 10);
        double lrnAnswers = (counts[0] + counts[1] + counts[2] * (1 - revYesRate)) * factor;
        eta += lrnAnswers * lrnTime;
        return (int) (eta / 60000);
    }",no,no,"No
Leaky Resources:
None

The code snippet provided does not appear to have any resource leaks. The Cursor object, which is a resource that needs to be managed, is properly closed in the finally block (lines 31-35). This ensures that the Cursor is closed whether the try block executes successfully or an exception is thrown.","No
Leaky Resources:
None

The code snippet provided does not appear to have any resource leaks. The Cursor object 'cur' which is a resource, is properly closed in a finally block, ensuring it gets closed whether an exception occurs or not."
AnkiDroid,android.database.Cursor,a694f4dedc,3e9ddc7eca,hasKey(),Deck.java,,yes,yes,no,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,complete leak,,https://github.com/ankidroid/Anki-Android,src/com/ichi2/anki/Deck.java,https://github.com/ankidroid/Anki-Android/commit/a694f4dedca21e25221f3f5aa7d8f2f945b340e5,https://github.com/ankidroid/Anki-Android/commit/3e9ddc7eca6cd035e1cf6f82cb4e5d1e3b7220cf,"public boolean hasKey(String key) {
        return getDB().getDatabase().rawQuery(""SELECT 1 FROM deckVars WHERE key = '"" + key + ""'"", null).moveToNext();
    }","public boolean hasKey(String key) {
        Cursor cur = null;
        try {
            cur = getDB().getDatabase().rawQuery(""SELECT 1 FROM deckVars WHERE key = '"" + key + ""'"", null);
            return cur.moveToNext();
        } finally {
            if (cur != null) {
                cur.close();
            }	
        }
    }",no,no,"Yes
Leaky Resources:
Database Cursor","No
Leaky Resources:
None

The code snippet provided is properly handling the Cursor resource. It is correctly closed in the finally block, which ensures that the resource is released regardless of whether the try block executes successfully or not. Therefore, there are no resource leaks in this code snippet."
AnkiDroid,android.database.Cursor,c993a3398e,3725ce7582,upgradeDB() @line 91,MetaDB.java,Pull 4093,yes,yes,yes,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,complete leak,,https://github.com/ankidroid/Anki-Android,AnkiDroid/src/main/java/com/ichi2/anki/MetaDB.java,https://github.com/ankidroid/Anki-Android/commit/c993a3398ec325672fd43307d8e2b457b3be9db7,https://github.com/ankidroid/Anki-Android/commit/3725ce75828aaf4fa0b7bc36416a973f2ea6a157,"private static SQLiteDatabase upgradeDB(SQLiteDatabase mMetaDb, int databaseVersion) {
        Timber.i(""MetaDB:: Upgrading Internal Database.."");
        // if (mMetaDb.getVersion() == 0) {
        Timber.i(""MetaDB:: Applying changes for version: 0"");
        if (mMetaDb.getVersion() < 4) {
            mMetaDb.execSQL(""DROP TABLE IF EXISTS languages;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS customDictionary;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS whiteboardState;"");
        }
        // Create tables if not exist
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS languages ("" + "" _id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, ord INTEGER, "" + ""qa INTEGER, "" + ""language TEXT)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS whiteboardState ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""state INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS customDictionary ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""dictionary INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS smallWidgetStatus ("" + ""id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""due INTEGER NOT NULL, eta INTEGER NOT NULL)"");
        // Use pragma to get info about widgetStatus.
        Cursor c = mMetaDb.rawQuery(""PRAGMA table_info(widgetStatus)"", null);
        int columnNumber = c.getCount();
        if (columnNumber > 0) {
            if (columnNumber < 7) {
                mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN eta INTEGER NOT NULL DEFAULT '0'"");
                mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN time INTEGER NOT NULL DEFAULT '0'"");
            }
        } else {
            mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS widgetStatus ("" + ""deckId INTEGER NOT NULL PRIMARY KEY, ""
                    + ""deckName TEXT NOT NULL, "" + ""newCards INTEGER NOT NULL, "" + ""lrnCards INTEGER NOT NULL, ""
                    + ""dueCards INTEGER NOT NULL, "" + ""progress INTEGER NOT NULL, "" + ""eta INTEGER NOT NULL)"");
        }
        mMetaDb.setVersion(databaseVersion);
        Timber.i(""MetaDB:: Upgrading Internal Database finished. New version: %d"", databaseVersion);
        return mMetaDb;
    }","private static SQLiteDatabase upgradeDB(SQLiteDatabase mMetaDb, int databaseVersion) {
        Timber.i(""MetaDB:: Upgrading Internal Database.."");
        // if (mMetaDb.getVersion() == 0) {
        Timber.i(""MetaDB:: Applying changes for version: 0"");

        if (mMetaDb.getVersion() < 4) {
            mMetaDb.execSQL(""DROP TABLE IF EXISTS languages;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS customDictionary;"");
            mMetaDb.execSQL(""DROP TABLE IF EXISTS whiteboardState;"");
        }

        // Create tables if not exist
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS languages ("" + "" _id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, ord INTEGER, "" + ""qa INTEGER, "" + ""language TEXT)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS whiteboardState ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""state INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS customDictionary ("" + ""_id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""did INTEGER NOT NULL, "" + ""dictionary INTEGER)"");
        mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS smallWidgetStatus ("" + ""id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                + ""due INTEGER NOT NULL, eta INTEGER NOT NULL)"");
        // Use pragma to get info about widgetStatus.
        Cursor c = null;
        try {
             c = mMetaDb.rawQuery(""PRAGMA table_info(widgetStatus)"", null);
            int columnNumber = c.getCount();
            if (columnNumber > 0) {
                if (columnNumber < 7) {
                    mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN eta INTEGER NOT NULL DEFAULT '0'"");
                    mMetaDb.execSQL(""ALTER TABLE widgetStatus "" + ""ADD COLUMN time INTEGER NOT NULL DEFAULT '0'"");
                }
            } else {
                mMetaDb.execSQL(""CREATE TABLE IF NOT EXISTS widgetStatus ("" + ""deckId INTEGER NOT NULL PRIMARY KEY, ""
                        + ""deckName TEXT NOT NULL, "" + ""newCards INTEGER NOT NULL, "" + ""lrnCards INTEGER NOT NULL, ""
                        + ""dueCards INTEGER NOT NULL, "" + ""progress INTEGER NOT NULL, "" + ""eta INTEGER NOT NULL)"");
            }
            mMetaDb.setVersion(databaseVersion);
            Timber.i(""MetaDB:: Upgrading Internal Database finished. New version: %d"", databaseVersion);
            return mMetaDb;
        } finally {
            if (c != null) {
                c.close();
            }
        }
    }",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources: None

The provided code snippet does not seem to have any resource leaks. The database and cursor resources are properly managed. The cursor is closed in the finally block which ensures that it gets closed even if an exception occurs. The database resource is returned and it's the responsibility of the calling function to close it when it's no longer needed."
AnySoftKeyboard,android.database.Cursor,cc8c1c8fa4,b832671708,addWords(),ContactsDictionary.java,,yes,no,no,n/a,,no,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,leak on certain normal paths,,https://github.com/AnySoftKeyboard/AnySoftKeyboard,src/com/menny/android/anysoftkeyboard/dictionary/ContactsDictionary.java,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/cc8c1c8fa4e34baf1e2b23b0abb3897a331f2619,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/b832671708e8f5c5763ed81ac707dad40f6308aa,"private void addWords(Cursor cursor) {
    	int newCount = 0;
    	long newHash = 0;
    	//first checking if something has changed
    	if (cursor.moveToFirst()) {
            while (!cursor.isAfterLast()) {
                String name = cursor.getString(INDEX_NAME);
                if(name != null){
                    newHash += name.hashCode();
                    newCount++;
                }
                cursor.moveToNext();
            }
    	}
    	
    	if (newCount == mContactsCount  && newHash == mContactsHash )
    	{
    	    return;
    	}
    		if (AnySoftKeyboardConfiguration.DEBUG) Log.d(TAG, ""Contacts will be reloaded since count or hash changed. New count ""+newCount+"" was(""+mContactsCount+""), new hash ""+newHash+"" (was ""+mContactsHash+"")."");
    		mContactsCount = newCount;
    		mContactsHash = newHash;
    		
    		clearDictionary();
            int loadedContacts = 0;
            final int maxWordLength = MAX_WORD_LENGTH;
            if (cursor.moveToFirst()) {
                while (!cursor.isAfterLast()) {
                    String name = cursor.getString(INDEX_NAME);

                    if (name != null) {
                        int len = name.length();

                        // TODO: Better tokenization for non-Latin writing systems
                        for (int i = 0; i < len; i++) {
                            if (Character.isLetter(name.charAt(i))) {
                                int j;
                                for (j = i + 1; j < len; j++) {
                                    char c = name.charAt(j);

                                    if (!(c == '-' || c == '\'' ||
                                          Character.isLetter(c))) {
                                        break;
                                    }
                                }

                                String word = name.substring(i, j);
                                i = j - 1;

                                // Safeguard against adding really long words. Stack
                                // may overflow due to recursion
                                // Also don't add single letter words, possibly confuses
                                // capitalization of i.
                                final int wordLen = word.length();
                                if (wordLen < maxWordLength && wordLen > 1) {
                                	if (AnySoftKeyboardConfiguration.DEBUG)
                                		Log.d(TAG, ""Contact '""+word+""' will be added to contacts dictionary."");
                                	loadedContacts++;
                                    super.addWord(word, 128);
                                }
                            }
                        }
                    }

                    cursor.moveToNext();
                }
            }
            
            Log.i(TAG, ""Loaded ""+loadedContacts+"" contacts"");
    	
        
        cursor.close();
    }","private void addWords(Cursor cursor) {
    	int newCount = 0;
    	long newHash = 0;
    	//first checking if something has changed
    	if (cursor.moveToFirst()) {
            while (!cursor.isAfterLast()) {
                String name = cursor.getString(INDEX_NAME);
                if(name != null){
                    newHash += name.hashCode();
                    newCount++;
                }
                cursor.moveToNext();
            }
    	}
    	
    	if (newCount == mContactsCount  && newHash == mContactsHash )
    	{
    	    cursor.close();
    	    return;
    	    
    	}
    		if (AnySoftKeyboardConfiguration.DEBUG) Log.d(TAG, ""Contacts will be reloaded since count or hash changed. New count ""+newCount+"" was(""+mContactsCount+""), new hash ""+newHash+"" (was ""+mContactsHash+"")."");
    		mContactsCount = newCount;
    		mContactsHash = newHash;
    		
    		clearDictionary();
            int loadedContacts = 0;
            final int maxWordLength = MAX_WORD_LENGTH;
            if (cursor.moveToFirst()) {
                while (!cursor.isAfterLast()) {
                    String name = cursor.getString(INDEX_NAME);

                    if (name != null) {
                        int len = name.length();

                        // TODO: Better tokenization for non-Latin writing systems
                        for (int i = 0; i < len; i++) {
                            if (Character.isLetter(name.charAt(i))) {
                                int j;
                                for (j = i + 1; j < len; j++) {
                                    char c = name.charAt(j);

                                    if (!(c == '-' || c == '\'' ||
                                          Character.isLetter(c))) {
                                        break;
                                    }
                                }

                                String word = name.substring(i, j);
                                i = j - 1;

                                // Safeguard against adding really long words. Stack
                                // may overflow due to recursion
                                // Also don't add single letter words, possibly confuses
                                // capitalization of i.
                                final int wordLen = word.length();
                                if (wordLen < maxWordLength && wordLen > 1) {
                                	if (AnySoftKeyboardConfiguration.DEBUG)
                                		Log.d(TAG, ""Contact '""+word+""' will be added to contacts dictionary."");
                                	loadedContacts++;
                                    super.addWord(word, 128);
                                }
                            }
                        }
                    }

                    cursor.moveToNext();
                }
            }
            
            Log.i(TAG, ""Loaded ""+loadedContacts+"" contacts"");
    	
        
        cursor.close();
    }",no,no,"Yes
Leaky Resources:
Cursor","Yes
Leaky Resources:
Cursor

Explanation:
In the provided code snippet, the Cursor object 'cursor' is not properly managed. It is closed only in two places: line 18 and line 74. However, there are several paths through the code that do not lead to the cursor being closed. For example, if an exception occurs before reaching these lines, the cursor will not be closed, leading to a resource leak. 

To avoid this, the cursor should be managed in a try-finally block. This ensures that the cursor is closed no matter what happens in the try block."
AnySoftKeyboard,android.database.Cursor,f3ec3698f0,4b7d714258,doInBackground(),UserDictionaryEditorActivity.java,,yes,yes,yes,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,complete leak,,https://github.com/AnySoftKeyboard/AnySoftKeyboard,src/com/anysoftkeyboard/ui/settings/UserDictionaryEditorActivity.java,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/f3ec3698f0a20d4a94b92a0ef522e0a9548a1405,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/4b7d7142583554833dac2516c4351cb7c03ff974,"@Override
      protected String[] doInBackground(Void... params) {
       try
       {
        Cursor langsCursor = getContentResolver().query(UserDictionary.Words.CONTENT_URI, 
          new String[]{UserDictionary.Words.LOCALE},
          null, null, null);
        if (langsCursor == null) throw new NullPointerException(""No device-wide user dictionary"");
        langsCursor.moveToFirst();
        ArrayList<String> langs = new ArrayList<String>();
        while(!langsCursor.isAfterLast())
        {
         String locale = langsCursor.getString(0);
         langsCursor.moveToNext();
         if (TextUtils.isEmpty(locale)) continue;
         if (langs.contains(locale)) continue;
         langs.add(locale);
        }

        return langs.toArray(new String[langs.size()]);
       }
       catch(Exception e)
       {
        //TODO: Use ASK fallback
        e.printStackTrace();
       }

       return new String[]{""en""};
      }","@Override
    		protected String[] doInBackground(Void... params) {
    			try
    			{
    				Cursor langsCursor = getContentResolver().query(UserDictionary.Words.CONTENT_URI, 
    						new String[]{UserDictionary.Words.LOCALE},
    						null, null, null);
    				if (langsCursor == null) throw new NullPointerException(""No device-wide user dictionary"");
    				langsCursor.moveToFirst();
    				ArrayList<String> langs = new ArrayList<String>();
    				while(!langsCursor.isAfterLast())
    				{
    					String locale = langsCursor.getString(0);
    					langsCursor.moveToNext();
    					if (TextUtils.isEmpty(locale)) continue;
    					if (langs.contains(locale)) continue;
    					Log.d(TAG, ""Adding locale ""+locale+"" to editor."");
    					langs.add(locale);
    				}
    				
    				langsCursor.close();
    				//now to add all layouts locales
    				ArrayList<KeyboardAddOnAndBuilder> keyboards = KeyboardFactory.getAllAvailableKeyboards(getApplicationContext());
    				for(KeyboardAddOnAndBuilder kbd : keyboards)
    				{
    					String locale = kbd.getKeyboardLocale();
    					if (TextUtils.isEmpty(locale)) continue;
    					if (langs.contains(locale)) continue;
    					Log.d(TAG, ""Adding locale ""+locale+"" to editor."");
    					langs.add(locale);
    				}
    				return langs.toArray(new String[langs.size()]);
    			}
    			catch(Exception e)
    			{
    				//TODO: Use ASK fallback
    				e.printStackTrace();
    			}
    			
    			return new String[]{};
    		}",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources: None

The code snippet provided does not seem to have any resource leaks. The Cursor object 'langsCursor' which is a common cause of resource leaks in Android if not managed properly, is closed properly at line 21. There are no other resources such as streams, database connections, etc. opened in the code that could potentially cause a resource leak."
Osmand,android.database.Cursor,d82036938a,99ba127f50,indexCachedResources(),HillshadeLayer.java,Pull 649,yes,yes,no,n/a,,yes,n/a,n/a,,,yes,no,n/a,,no,n/a,n/a,,,,no,leak on certain normal paths,,https://github.com/osmandapp/Osmand,OsmAnd/src/net/osmand/plus/srtmplugin/HillshadeLayer.java,https://github.com/osmandapp/Osmand/commit/d82036938acf78efc8bbdbd22697581ed963aaea,https://github.com/osmandapp/Osmand/commit/99ba127f50cd590b59ac80ff7850b03582d04832,"private void indexCachedResources(Map<String, Long> fileModified, Map<String, SQLiteTileSource> rs) {
				Cursor cursor = sqliteDb.rawQuery(""SELECT filename, date_modified, left, right, top, bottom FROM TILE_SOURCES"", 
						new String[0]);
				if(cursor.moveToFirst()) {
					do {
						String filename = cursor.getString(0);
						long lastModified = cursor.getLong(1);
						Long read = fileModified.get(filename);
						if(rs.containsKey(filename) && read != null && lastModified == read) {
							int left = cursor.getInt(2);
							int right = cursor.getInt(3);
							int top = cursor.getInt(4);
							float bottom = cursor.getInt(5);
							indexedResources.insert(filename, new QuadRect(left, top, right, bottom));
							fileModified.remove(filename);
						}
						
					} while(cursor.moveToNext());
					cursor.close();
				}
			}","private void indexCachedResources(Map<String, Long> fileModified, Map<String, SQLiteTileSource> rs) {
				Cursor cursor = sqliteDb.rawQuery(""SELECT filename, date_modified, left, right, top, bottom FROM TILE_SOURCES"", 
						new String[0]);
				if(cursor.moveToFirst()) {
					do {
						String filename = cursor.getString(0);
						long lastModified = cursor.getLong(1);
						Long read = fileModified.get(filename);
						if(rs.containsKey(filename) && read != null && lastModified == read) {
							int left = cursor.getInt(2);
							int right = cursor.getInt(3);
							int top = cursor.getInt(4);
							float bottom = cursor.getInt(5);
							indexedResources.insert(filename, new QuadRect(left, top, right, bottom));
							fileModified.remove(filename);
						}
						
					} while(cursor.moveToNext());
				}
				cursor.close();
			}",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources: None

The code snippet provided does not appear to have any resource leaks. The Cursor object, which is a resource that needs to be managed, is properly closed at line 20. This ensures that the database resource it was using is freed up."
SMSDroid,android.database.Cursor,5020594a25,3aa0d074ae,getConversation() @line 238,Conversation.java,,yes,no,no,n/a,,yes,n/a,n/a,,,no,no,n/a,,yes,n/a,n/a,,,,no,complete leak,,https://github.com/felixb/smsdroid,src/de/ub0r/android/smsdroid/Conversation.java,https://github.com/felixb/smsdroid/commit/5020594a25c7dd1d77b5e4571bce2135f4a17138,https://github.com/felixb/smsdroid/commit/3aa0d074ae2b952fa623a0c095f41fb4d610884b,"	public static Conversation getConversation(final Context context,
			final int threadId, final boolean forceUpdate) {
		synchronized (CACHE) {
			Conversation ret = CACHE.get(threadId);
			if (ret == null || ret.getAddress() == null || forceUpdate) {
				Cursor cursor = context.getContentResolver().query(
						ConversationProvider.CONTENT_URI,
						ConversationProvider.PROJECTION,
						ConversationProvider.PROJECTION[// .
								ConversationProvider.INDEX_THREADID]
								+ "" = "" + threadId, null, null);
				if (cursor != null && cursor.moveToFirst()) {
					return getConversation(context, cursor, true);
				} else {
					Log.e(TAG, ""did not found conversation: "" + threadId);
				}
			}
			return ret;
		}
	}
","	public static Conversation getConversation(final Context context,
			final Cursor cursor, final boolean sync) {
		synchronized (CACHE) {
			Conversation ret = CACHE.get(cursor
					.getInt(ConversationProvider.INDEX_THREADID));
			if (ret == null) {
				ret = new Conversation(context, cursor, sync);
				CACHE.put(ret.getThreadId(), ret);
				Log.d(TAG, ""cachesize: "" + CACHE.size());
				while (CACHE.size() > CAHCESIZE) {
					Integer i = CACHE.keySet().iterator().next();
					Log.d(TAG, ""rm con. from cache: "" + i);
					Conversation cc = CACHE.remove(i);
					if (cc == null) {
						Log.w(TAG, ""CACHE might be inconsistent!"");
						break;
					}
				}
			} else {
				ret.update(context, cursor, sync);
			}
			return ret;
		}
	}
",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources:
None"
Google Authenticator,android.database.Cursor,89a1b41e2b,f7dee7574d,nameExists(),AccountDb.java,,yes,yes,yes,n/a,,yes,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/google/google-authenticator,mobile/android/src/com/google/android/apps/authenticator/AccountDb.java,https://github.com/google/google-authenticator/commit/89a1b41e2ba7e80ef3df0056b2e83408608f6ad3,https://github.com/google/google-authenticator/commit/f7dee7574d30fb7f948acdc1ccc9fe2e0fcdc432,"static boolean nameExists(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"",
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      return true;
    } else {
      return false;
    }
  }","  static boolean nameExists(String email) {
    Cursor cursor = getAccount(email);
    try {
      return !cursorIsEmpty(cursor);
    } finally {
      tryCloseCursor(cursor);
    }
  }
",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources:
None"
Google Authenticator,android.database.Cursor,89a1b41e2b,f7dee7574d,getSecret(),AccountDb.java,,yes,yes,yes,n/a,,yes,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/google/google-authenticator,mobile/android/src/com/google/android/apps/authenticator/AccountDb.java,https://github.com/google/google-authenticator/commit/89a1b41e2ba7e80ef3df0056b2e83408608f6ad3,https://github.com/google/google-authenticator/commit/f7dee7574d30fb7f948acdc1ccc9fe2e0fcdc432,"static String getSecret(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"",
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      cursor.moveToFirst();
      return cursor.getString(cursor.getColumnIndex(SECRET_COLUMN));
    } 
    return null;   
  }","  static String getSecret(String email) {
    Cursor cursor = getAccount(email);
    try {
      if (!cursorIsEmpty(cursor)) {
        cursor.moveToFirst();
        return cursor.getString(cursor.getColumnIndex(SECRET_COLUMN));
      }
    } finally {
      tryCloseCursor(cursor);
    }
    return null;   
  }
",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources:
None"
Google Authenticator,android.database.Cursor,89a1b41e2b,f7dee7574d,getCounter(),AccountDb.java,,yes,yes,yes,n/a,,yes,n/a,n/a,,,no,no,n/a,,no,n/a,n/a,,,,yes,complete leak,,https://github.com/google/google-authenticator,mobile/android/src/com/google/android/apps/authenticator/AccountDb.java,https://github.com/google/google-authenticator/commit/89a1b41e2ba7e80ef3df0056b2e83408608f6ad3,https://github.com/google/google-authenticator/commit/f7dee7574d30fb7f948acdc1ccc9fe2e0fcdc432,"static Integer getCounter(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"", 
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      cursor.moveToFirst();
      return cursor.getInt(cursor.getColumnIndex(COUNTER_COLUMN));
    } 
    return null;   
  }","  static Integer getCounter(String email) {
    Cursor cursor = getAccount(email);
    try {
      if (!cursorIsEmpty(cursor)) {
        cursor.moveToFirst();
        return cursor.getInt(cursor.getColumnIndex(COUNTER_COLUMN));
      } 
    } finally {
      tryCloseCursor(cursor);
    }
    return null;   
  }
",no,no,"Yes
Leaky Resources:
Cursor","No
Leaky Resources:
None"
